Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Note.inscription (old),Note.inscription 2 (old),Alt Title,IIIF Manifest URL
ark:/13030/m5n94n9s,ark:/21198/z1n06s3x,,Work,1,0001.01.0327|~|15694|~|7576_ca_object_representations_media_7182_original.jpg,The Ali Kazak Collection,"Ali Kazak Sub-collection 4: The Posters of ""Down with the Occupation"" Exhibition","ملصق للفنانة داغنيت بيرست، معرض ""يسقط الإحتلال""، 1987","A Poster by Artist Dagnett Burst, the ""Down with the Occupation"" Exhibition, 1987","This poster is by artist Dagnett Burst from the ""Down with the Occupation"" exhibition held in 1987.|~|ملصق للفنانة داغنيت بيرست من معرض ""يسقط الإحتلال"" عام 1987.",,posters,heb|~|eng|~|ara,still image,6 June 1987 | Date issued,1987-06-06,,"[31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social and Institutional Activism,يسقط الاحتلال למטה עם הכיבוש|~|DOWN WITH THE OCCUPATION,image/jpeg,4224,3008,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/1/73174_ca_object_representations_media_7182_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/1/7576_ca_object_representations_media_7182_original.jpg,https://palarchive.org/index.php/Detail/objects/15694/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,good | 224,No,"Ali Kazak Sub-collection 4: The Posters of ""Down with the Occupation"" Exhibition | The Ali Kazak Collection",2 July 2018 at 16:08:32,8 December 2022 at 8:46:41,"This poster is by artist Dagnett Burst from the ""Down with the Occupation"" exhibition held in 1987.","ملصق للفنانة داغنيت بيرست من معرض ""يسقط الإحتلال"" عام 1987.",posters | black-and-white poster,يسقط الاحتلال למטה עם הכיבוש,DOWN WITH THE OCCUPATION,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5n94n9s/manifest
ark:/13030/m5812d4q,ark:/21198/z1n06s3x,,Work,1,0001.01.0328|~|15695|~|58056_ca_object_representations_media_7183_original.jpg,The Ali Kazak Collection,"Ali Kazak Sub-collection 4: The Posters of ""Down with the Occupation"" Exhibition","ملصق للفنان أودي آلوني، معرض ""يسقط الإحتلال""، 1987","A Poster by Artist Udi Aloni, the ""Down with the Occupation"" Exhibition, 1987","This poster is by artist Udi Aloni from the ""Down with the Occupation"" exhibition held in 1987.|~|ملصق للفنان أودي آلوني من معرض ""يسقط الإحتلال"" عام 1987.",,posters,heb|~|eng|~|ara,still image,6 June 1987 | Date issued,1987-06-06,,"[31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social and Institutional Activism,يسقط الاحتلال למטה עם הכיבוש|~|DOWN WITH THE OCCUPATION,image/jpeg,2956,4200,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/1/43848_ca_object_representations_media_7183_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/1/58056_ca_object_representations_media_7183_original.jpg,https://palarchive.org/index.php/Detail/objects/15695/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,good | 224,No,"Ali Kazak Sub-collection 4: The Posters of ""Down with the Occupation"" Exhibition | The Ali Kazak Collection",2 July 2018 at 16:08:33,8 December 2022 at 8:46:42,"This poster is by artist Udi Aloni from the ""Down with the Occupation"" exhibition held in 1987.","ملصق للفنان أودي آلوني من معرض ""يسقط الإحتلال"" عام 1987.",posters | black-and-white poster,يسقط الاحتلال למטה עם הכיבוש,DOWN WITH THE OCCUPATION,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5812d4q/manifest
ark:/13030/m5cs34vq,ark:/21198/z1n06s3x,,Work,1,0001.01.0329|~|16523|~|95584_ca_object_representations_media_16021_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""خريطة إسرائيل التي قدمت لمؤتمر السلام عام 1919""، ملصق صادر عن لجنة إعلام المراة العربية، 1972","""The Map of Israel as Submitted at the Peace Conference of 1919"", a Poster by the AWIC, 1972","Issued by the Arab Women's Information Committee (AWIC) in 1972, this poster shows the map of Lebanon, and the southern part of it has been added to Palestine, as part of the occupying state. This map was presented during the 1919 Peace Conference.|~|ملصق صادر عن لجنة إعلام المراة العربية عام 1972، يظهر فيه خارطة لبنان وقد تم إضافة الجزء الجنوبي منها لفلسطين، باعتبارها جزءًا من دولة الاحتلال، إذ تم تقديم هذه الخريطة خلال مؤتمر السلام عام 1919.",,posters,eng,still image,1972; Date issued,1972,,,Political mobilization|~|Resistance and Struggle|~|Social History|~|Women,"الحقيقة حول مشكلة فلسطين خطة مقدمة من المنظمة الصهيونية إلى مؤتمر السلام ، 1919 ""حدود إسرائيل ، باستثناء الحدود مع لبنان ، مثالية"" (موشيه ديان ، 6 أكتوبر 1967) لجنة إعلام المرأة العربية ص.ب. 320 بيروت - لبنان|~|The fact About the Palestine Problem PLAN SUBMITTED BY THE ZIONIST ORGANIZATION TO THE PEACE CONFERENCE, 1919 “Israel’s borders, with the exception of that with Lebanon, are ideal” (Moshe Dayan, The Jewish Chronicle 6 October 1967) The Arab Women’s Information Committee P.O.Box 320 Beirut - Lebanon",image/jpeg,3728,2515,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/88239_ca_object_representations_media_16021_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/95584_ca_object_representations_media_16021_original.jpg,https://palarchive.org/index.php/Detail/objects/16523/lang/en_US,The Palestinian Museum ,info@palarchive.org,,The right side is worn out due to the storage method,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,3 July 2018 at 13:47:52,6 December 2022 at 14:33:31,"Issued by the Arab Women's Information Committee (AWIC) in 1972, this poster shows the map of Lebanon, and the southern part of it has been added to Palestine, as part of the occupying state. This map was presented during the 1919 Peace Conference.",ملصق صادر عن لجنة إعلام المراة العربية عام 1972، يظهر فيه خارطة لبنان وقد تم إضافة الجزء الجنوبي منها لفلسطين، باعتبارها جزءًا من دولة الاحتلال، إذ تم تقديم هذه الخريطة خلال مؤتمر السلام عام 1919.,color poster,"الحقيقة حول مشكلة فلسطين خطة مقدمة من المنظمة الصهيونية إلى مؤتمر السلام ، 1919 ""حدود إسرائيل ، باستثناء الحدود مع لبنان ، مثالية"" (موشيه ديان ، 6 أكتوبر 1967) لجنة إعلام المرأة العربية ص.ب. 320 بيروت - لبنان","The fact About the Palestine Problem PLAN SUBMITTED BY THE ZIONIST ORGANIZATION TO THE PEACE CONFERENCE, 1919 “Israel’s borders, with the exception of that with Lebanon, are ideal” (Moshe Dayan, The Jewish Chronicle 6 October 1967) The Arab Women’s Information Committee P.O.Box 320 Beirut - Lebanon",Facts About the Cause of Palestine  | الحقيقة حول مشكلة فلسطين,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5cs34vq/manifest
ark:/13030/m5r28bwq,ark:/21198/z1n06s3x,,Work,1,0001.01.0330|~|16524|~|18485_ca_object_representations_media_16022_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""من أجل السلام العادل""، ملصق صادرعن جمعية صامد","""For a Just Peace"", a Poster by Samed Association","Issued by the Laboratories Association of the Children of the Martyrs of Palestine (Samed), this poster titled ""For a Just Peace"" is regarding the friendship between Palestine and Democratic Germany.|~|ملصق بعنوان ""من أجل السلام العادل، الصداقة الفلسطينية مع ألمانيا الديمقراطية"" صادرعن جمعية معامل أبناء شهداء فلسطين (صامد).",,posters,ger|~|ara,still image,,,,"[51.165691,10.451526]; [31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,"من أجل السلام العادل نناضل ومن أجل السلام العادل سننتصر الصداقة الفلسطينية مع ألمانيا الديمقراطية جمعية معامل أبناء شهداء فلسطين|~|FÜR DEN GERECHTEN FRIEDEN KÄMPFEN WIR, FÜR DEN GERECHTEN FRIEDEN WERDEN WIR SIEGEN For a just peace we fight For a just peace, we will win DIE PALÄSTINENSISCHE FREUNDSCHAFTSGESELLSCHAFT MIT DER DDR. Palestinian friendship with the GDR Palestine Shaheeds' Sons Association WERKESTATTE DER SÖHNE DER PALÄSTINENSISCHEN GEFALLENEN",image/jpeg,3773,2649,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/63259_ca_object_representations_media_16022_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/18485_ca_object_representations_media_16022_original.jpg,https://palarchive.org/index.php/Detail/objects/16524/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,the right side is worn out due to the storage method,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,3 July 2018 at 13:47:52,6 December 2022 at 14:34:53,"Issued by the Laboratories Association of the Children of the Martyrs of Palestine (Samed), this poster titled ""For a Just Peace"" is regarding the friendship between Palestine and Democratic Germany.","ملصق بعنوان ""من أجل السلام العادل، الصداقة الفلسطينية مع ألمانيا الديمقراطية"" صادرعن جمعية معامل أبناء شهداء فلسطين (صامد).",posters,من أجل السلام العادل نناضل ومن أجل السلام العادل سننتصر الصداقة الفلسطينية مع ألمانيا الديمقراطية جمعية معامل أبناء شهداء فلسطين,"FÜR DEN GERECHTEN FRIEDEN KÄMPFEN WIR, FÜR DEN GERECHTEN FRIEDEN WERDEN WIR SIEGEN For a just peace we fight For a just peace, we will win DIE PALÄSTINENSISCHE FREUNDSCHAFTSGESELLSCHAFT MIT DER DDR. Palestinian friendship with the GDR Palestine Shaheeds' Sons Association WERKESTATTE DER SÖHNE DER PALÄSTINENSISCHEN GEFALLENEN",,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5r28bwq/manifest
ark:/13030/m5384m58,ark:/21198/z1n06s3x,,Work,1,0001.01.0331|~|16525|~|18636_ca_object_representations_media_16023_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"ملصق بعنوان ""معرض الفن العربي المعاصر""، اليابان","A Poster Titled ""The Arab Contemporary Fine Art Exhibition"", Japan","This promotional poster titled ""The Arab Contemporary Fine Art Exhibition"" is for the exhibition sponsored by the representative office of the League of Arab States and the Ministry of Foreign Affairs in Japan.|~|ملصق ترويجي لمعرض برعاية مكتب تمثيل جامعة الدول العربية ووزارة الخارجية في اليابان بعنوان ""معرض الفن العربي المعاصر"".",,posters,jpn|~|eng,still image,,,,"[36.204824,138.252924]; [31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,معرض الفنون الجميلة العربية المعاصرة|~|Arab contemporary fine art exhibition,image/jpeg,2760,3956,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/8794_ca_object_representations_media_16023_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/18636_ca_object_representations_media_16023_original.jpg,https://palarchive.org/index.php/Detail/objects/16525/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,3 July 2018 at 13:47:52,6 December 2022 at 14:47:53,"This promotional poster titled ""The Arab Contemporary Fine Art Exhibition"" is for the exhibition sponsored by the representative office of the League of Arab States and the Ministry of Foreign Affairs in Japan.","ملصق ترويجي لمعرض برعاية مكتب تمثيل جامعة الدول العربية ووزارة الخارجية في اليابان بعنوان ""معرض الفن العربي المعاصر"".",posters,معرض الفنون الجميلة العربية المعاصرة,Arab contemporary fine art exhibition,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5384m58/manifest
ark:/13030/m56189t3,ark:/21198/z1n06s3x,,Work,1,0001.01.0332|~|15696|~|51091_ca_object_representations_media_7184_original.jpg,The Ali Kazak Collection,"Ali Kazak Sub-collection 4: The Posters of ""Down with the Occupation"" Exhibition","ملصق للفنان أفنير كاتز، معرض ""يسقط الإحتلال""، 1987","A Poster by Artist Avner Katz, the ""Down with the Occupation"" Exhibition, 1987","This poster is by artist Avner Katz from the ""Down with the Occupation"" exhibition held in 1987.|~|ملصق للفنان أفنير كاتز من معرض ""يسقط الإحتلال"" عام 1987.",,posters,heb|~|eng|~|ara,still image,6 June 1987 | Date issued,1987-06-06,,"[31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social and Institutional Activism,يسقط الاحتلال למטה עם הכיבוש|~|DOWN WITH THE OCCUPATION,image/jpeg,4255,2986,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/1/82071_ca_object_representations_media_7184_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/1/51091_ca_object_representations_media_7184_original.jpg,https://palarchive.org/index.php/Detail/objects/15696/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,good | 224,No,"Ali Kazak Sub-collection 4: The Posters of ""Down with the Occupation"" Exhibition | The Ali Kazak Collection",2 July 2018 at 16:08:33,8 December 2022 at 8:46:43,"This poster is by artist Avner Katz from the ""Down with the Occupation"" exhibition held in 1987.","ملصق للفنان أفنير كاتز من معرض ""يسقط الإحتلال"" عام 1987.",posters | black-and-white poster,يسقط الاحتلال למטה עם הכיבוש,DOWN WITH THE OCCUPATION,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm56189t3/manifest
ark:/13030/m50h0wp8,ark:/21198/z1n06s3x,,Work,1,0001.01.0333|~|16527|~|64974_ca_object_representations_media_16025_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""ضد تهويد الجليل، ضد مصادرة أراضي العرب""، ملصق صادر عن م.ت.ف، طوكيو، 1977","""Against the Judaization of Galilee and the Confiscation of Arab Lands"", a PLO Poster , Tokyo, 1977","This poster titled ""Against the Judaization of Galilee and the Confiscation of Arab Lands"" was issued by the Palestine Liberation Organization (PLO) office in Tokyo and was exhibited during the Palestine Festival in Tokyo in 1977.|~|ملصق بعنوان ""ضد تهويد الجليل، ضد مصادرة أراضي العرب"" صادر عن مكتب منظمة التحرير الفلسطينية في طوكيو، وعرض في مهرجان فلسطين في طوكيو عام 1977.",,posters,jpn|~|eng,still image,1977; Date issued,1977,,"[36.204824,138.252924]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,مهرجان فلسطين في طوكيو معرض صور فلسطين 1977.10.26 30 ندوة فلسطين 1997.10.30 P.L.O. مكتب طوكيو اللجنة الفلسطينية للتضامن طوكيو (باسولوكوس) طوكيو - اتحاد المعلمين في نيشيتاما (SEIKYOSO M.E KEN) هاتف 03 (463) 2840 PLO هاتف 0425 (22) 5429|~|PALESTINE FESTIVAL IN TOKYO SONGS BY TOKIKO KATO 1997.10.15 PALESTINE PHOTO EXHIBITION 1977.10.26 30 PALESTINE SYMPOSIUM 1997.10.30 P.L.O. TOKYO OFFICE  PALESTINE SOLIDARITY COMMITTEE TOKYO (PASOLOCOS) TOKYO - NISHITAMA TEACHERS UNION (SEIKYOSO M.E KEN) TEL 03(463)2840 PLO TEL 0425(22)5429,image/jpeg,2844,4130,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/15213_ca_object_representations_media_16025_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/64974_ca_object_representations_media_16025_original.jpg,https://palarchive.org/index.php/Detail/objects/16527/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,3 July 2018 at 13:47:52,6 December 2022 at 14:57,"This poster titled ""Against the Judaization of Galilee and the Confiscation of Arab Lands"" was issued by the Palestine Liberation Organization (PLO) office in Tokyo and was exhibited during the Palestine Festival in Tokyo in 1977.","ملصق بعنوان ""ضد تهويد الجليل، ضد مصادرة أراضي العرب"" صادر عن مكتب منظمة التحرير الفلسطينية في طوكيو، وعرض في مهرجان فلسطين في طوكيو عام 1977.",black-and-white poster,مهرجان فلسطين في طوكيو معرض صور فلسطين 1977.10.26 30 ندوة فلسطين 1997.10.30 P.L.O. مكتب طوكيو اللجنة الفلسطينية للتضامن طوكيو (باسولوكوس) طوكيو - اتحاد المعلمين في نيشيتاما (SEIKYOSO M.E KEN) هاتف 03 (463) 2840 PLO هاتف 0425 (22) 5429,PALESTINE FESTIVAL IN TOKYO SONGS BY TOKIKO KATO 1997.10.15 PALESTINE PHOTO EXHIBITION 1977.10.26 30 PALESTINE SYMPOSIUM 1997.10.30 P.L.O. TOKYO OFFICE  PALESTINE SOLIDARITY COMMITTEE TOKYO (PASOLOCOS) TOKYO - NISHITAMA TEACHERS UNION (SEIKYOSO M.E KEN) TEL 03(463)2840 PLO TEL 0425(22)5429,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm50h0wp8/manifest
ark:/13030/m5vt93m4,ark:/21198/z1n06s3x,,Work,1,0001.01.0334|~|16528|~|47971_ca_object_representations_media_16026_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""99 قطعة من الصناعات اليدوية من فلسطين""، ملصق صادر عن م.ت.ف، اليابان، 1985","""99 Handicraft Items from Palestine"", a PLO Poster, Japan, 1985","This poster titled ""99 Handicraft Items from Palestine"" was issued by the Palestine Liberation Organization (PLO) office in Japan at the 1985 Palestinian Traditional Handicraft Exhibition.|~|ملصق بعنوان ""99 قطعة من الصناعات اليدوية من فلسطين"" صادر عن مكتب منظمة التحرير الفلسطينية في اليابان بمناسبة معرض فلسطين للصناعات اليدوية عام 1985.",,posters,jpn|~|eng,still image,1985; Date issued,1985,,"[36.204824,138.252924]; [31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,"99 صممه توشيو ساتو ونشره مكتب منظمة التحرير الفلسطينية ، اليابان 1985/ قطعة من الصناعات اليدوية من فلسطين|~|Palestinian Traditional Handicrafts Exhibition, 1985 99 Handicraft Items from PALESTINE Designed by Toshio Satoh and Published by the PLO Office, Japan 1985",image/jpeg,3952,2757,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/99070_ca_object_representations_media_16026_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/47971_ca_object_representations_media_16026_original.jpg,https://palarchive.org/index.php/Detail/objects/16528/lang/en_US,The Palestinian Museum ,info@palarchive.org,,Folding marks can be found in the center of the poster due to the storage method,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,3 July 2018 at 13:47:52,6 December 2022 at 14:57:53,"This poster titled ""99 Handicraft Items from Palestine"" was issued by the Palestine Liberation Organization (PLO) office in Japan at the 1985 Palestinian Traditional Handicraft Exhibition.","ملصق بعنوان ""99 قطعة من الصناعات اليدوية من فلسطين"" صادر عن مكتب منظمة التحرير الفلسطينية في اليابان بمناسبة معرض فلسطين للصناعات اليدوية عام 1985.",color poster,99 صممه توشيو ساتو ونشره مكتب منظمة التحرير الفلسطينية ، اليابان 1985/ قطعة من الصناعات اليدوية من فلسطين,"Palestinian Traditional Handicrafts Exhibition, 1985 99 Handicraft Items from PALESTINE Designed by Toshio Satoh and Published by the PLO Office, Japan 1985",,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5vt93m4/manifest
ark:/13030/m5m97m5d,ark:/21198/z1n06s3x,,Work,1,0001.01.0335|~|16529|~|76056_ca_object_representations_media_16027_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""دعمًا لحقوق الطفل""، ملصق صادر عن منظمة التحرير الفلسطينية، 1979","""For Children's Rights"", a PLO Poster, 1979","This poster titled ""For Children's Rights"" was issued by the Unified Information of the Palestine Liberation Organization (PLO) in 1979.|~|ملصق بعنوان ""دعمًا لحقوق الطفل"" صادر عن الإعلام الموحد لمنظمة التحرير الفلسطينية عام 1979.",,posters,jpn|~|eng,still image,1979; Date issued,1979,,"[36.204824,138.252924]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,منظمة التحرير الفلسطينية وحدة وطنية تعبئة قومية تحرير P.L.O.|~|PALESTINE LIBERATION ORGANIZATION  PHONE 03(463)2840 LEAGUE OF ARAB STATES (TOKYO) PHONE 03(454)4581~2,image/jpeg,3947,2689,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/14632_ca_object_representations_media_16027_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/76056_ca_object_representations_media_16027_original.jpg,https://palarchive.org/index.php/Detail/objects/16529/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,3 July 2018 at 13:47:52,8 December 2022 at 11:11:46,"This poster titled ""For Children's Rights"" was issued by the Unified Information of the Palestine Liberation Organization (PLO) in 1979.","ملصق بعنوان ""دعمًا لحقوق الطفل"" صادر عن الإعلام الموحد لمنظمة التحرير الفلسطينية عام 1979.",color poster,منظمة التحرير الفلسطينية وحدة وطنية تعبئة قومية تحرير P.L.O.,PALESTINE LIBERATION ORGANIZATION  PHONE 03(463)2840 LEAGUE OF ARAB STATES (TOKYO) PHONE 03(454)4581~2,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5m97m5d/manifest
ark:/13030/m5q319qf,ark:/21198/z1n06s3x,,Work,1,0001.01.0336|~|16530|~|10693_ca_object_representations_media_16028_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""بيت ساحور، حارسة حقل الرعاة""، ملصق صادر عن مؤسسة جذور، 1989","""Beit Sahour, Guardian of the Shepherd's Field"", a Poster by the Roots Foundation, 1989","This poster titled ""Beit Sahour, Guardian of the Shepherd's Field"" was issued by the Roots Foundation in 1989.|~|ملصق بعنوان ""بيت ساحور، حارسة حقل الرعاة"" صادر عن مؤسسة جذور عام 1989.",,posters,eng,still image,1989; Date issued,1989,,"beit sahour [31.697836,35.22853]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,بيت ساحور، حارسة حقل الرعاة|~|Beit Sahour  Guardian of the Shepherd's Field,image/jpeg,5358,3020,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/11668_ca_object_representations_media_16028_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/10693_ca_object_representations_media_16028_original.jpg,https://palarchive.org/index.php/Detail/objects/16530/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,3 July 2018 at 13:47:52,6 December 2022 at 15:08:16,"This poster titled ""Beit Sahour, Guardian of the Shepherd's Field"" was issued by the Roots Foundation in 1989.","ملصق بعنوان ""بيت ساحور، حارسة حقل الرعاة"" صادر عن مؤسسة جذور عام 1989.",color poster,بيت ساحور، حارسة حقل الرعاة,Beit Sahour  Guardian of the Shepherd's Field,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5q319qf/manifest
ark:/13030/m5kb0k04,ark:/21198/z1n06s3x,,Work,1,0001.01.0337|~|16531|~|51038_ca_object_representations_media_16029_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""لا لسفك الدماء مقابل النفط""، ملصق صادر عن إنك ووركس، 1990","""No Blood for Oil"", a Poster by InkWorks, 1990","This poster titled ""No Blood for Oil"" was issued by InkWorks in 1990.|~|ملصق بعنوان ""لا لسفك الدماء مقابل النفط"" صادر عن إنك ووركس عام 1990.",,posters,eng,still image,1990; Date issued,1990,,,Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,"لا لسفك الدماء مقابل النفط حملة طارئة لوقف الحرب في الشرق الأوسط للحصول على نسخ إضافية أو مزيد من المعلومات ، يرجى الاتصال بـ: Global Exchange، 2141 Mission Street، Suite 202، San Francisco، CA 94110 (415) 255-7296 1990 Keith تصميم / ستيفن ليون -الطباعة من قبل InkWorks|~|NO BLOOD FOR OIL BRING THE TROOPS HOME Emergency Campaign to Stop the War in the Middle East> For additional copies or more information contact: Global Exchange, 2141 Mission Street, Suite 202, San Francisco, CA 94110 (415) 255-7296 1990 Keith R Potter Design / Steven Lyons Illustration Printing by InkWorrs",image/jpeg,4852,2791,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/39646_ca_object_representations_media_16029_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/0/51038_ca_object_representations_media_16029_original.jpg,https://palarchive.org/index.php/Detail/objects/16531/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,3 July 2018 at 13:47:52,6 December 2022 at 15:11:53,"This poster titled ""No Blood for Oil"" was issued by InkWorks in 1990.","ملصق بعنوان ""لا لسفك الدماء مقابل النفط"" صادر عن إنك ووركس عام 1990.",color poster,لا لسفك الدماء مقابل النفط حملة طارئة لوقف الحرب في الشرق الأوسط للحصول على نسخ إضافية أو مزيد من المعلومات ، يرجى الاتصال بـ: Global Exchange، 2141 Mission Street، Suite 202، San Francisco، CA 94110 (415) 255-7296 1990 Keith تصميم / ستيفن ليون -الطباعة من قبل InkWorks,"NO BLOOD FOR OIL BRING THE TROOPS HOME Emergency Campaign to Stop the War in the Middle East> For additional copies or more information contact: Global Exchange, 2141 Mission Street, Suite 202, San Francisco, CA 94110 (415) 255-7296 1990 Keith R Potter Design / Steven Lyons Illustration Printing by InkWorrs",,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5kb0k04/manifest
