Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1ht87wd,,,Collection,,,,,The George al-A'ma Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5133cjk,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0337|~|123162|~|30054_ca_object_representations_media_79840_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a theatrical performance. |~|بطاقة بريدية يظهر فيها عرض مسرحي، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,after 1948,1948,,"[31.7053821,35.2024425]",,,image/jpeg,4510,6687,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/29375_ca_object_representations_media_79840_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/30054_ca_object_representations_media_79840_original.jpg,https://palarchive.org/index.php/Detail/objects/123162/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:45,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a theatrical performance.",بطاقة بريدية يظهر فيها عرض مسرحي، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m5rp0tsb,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0338|~|123163|~|20203_ca_object_representations_media_79842_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a Christian ritual. |~|بطاقة بريدية يظهر فيها طقس ديني مسيحي، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,,,,"[31.7053821,35.2024425]",,,image/jpeg,4521,6687,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/79303_ca_object_representations_media_79842_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/20203_ca_object_representations_media_79842_original.jpg,https://palarchive.org/index.php/Detail/objects/123163/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:45,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a Christian ritual.",بطاقة بريدية يظهر فيها طقس ديني مسيحي، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m5z96z92,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0339|~|123164|~|95524_ca_object_representations_media_79844_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a Christian ritual. |~|بطاقة بريدية يظهر فيها طقس ديني مسيحي، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,,,,"[31.7053821,35.2024425]",,,image/jpeg,4636,6539,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/44721_ca_object_representations_media_79844_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/95524_ca_object_representations_media_79844_original.jpg,https://palarchive.org/index.php/Detail/objects/123164/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:45,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a Christian ritual.",بطاقة بريدية يظهر فيها طقس ديني مسيحي، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m5z39jkr,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0340|~|123165|~|77784_ca_object_representations_media_79846_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a Christian ritual. |~|بطاقة بريدية يظهر فيها طقس ديني مسيحي، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,after 1948,1948,,"[31.7053821,35.2024425]",,,image/jpeg,4573,6613,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/37357_ca_object_representations_media_79846_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/77784_ca_object_representations_media_79846_original.jpg,https://palarchive.org/index.php/Detail/objects/123165/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:45,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a Christian ritual.",بطاقة بريدية يظهر فيها طقس ديني مسيحي، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m5h49bbf,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0341|~|123166|~|82998_ca_object_representations_media_79848_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a Christian ritual. |~|بطاقة بريدية يظهر فيها طقس ديني مسيحي، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,,,,"[31.7053821,35.2024425]",,,image/jpeg,4636,6686,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/69982_ca_object_representations_media_79848_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/82998_ca_object_representations_media_79848_original.jpg,https://palarchive.org/index.php/Detail/objects/123166/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a Christian ritual.",بطاقة بريدية يظهر فيها طقس ديني مسيحي، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m5f83zfq,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0342|~|123167|~|71935_ca_object_representations_media_79850_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a Christian ritual. |~|بطاقة بريدية يظهر فيها طقس ديني مسيحي، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,,,,"[31.7053821,35.2024425]",,,image/jpeg,4636,6686,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/76905_ca_object_representations_media_79850_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/71935_ca_object_representations_media_79850_original.jpg,https://palarchive.org/index.php/Detail/objects/123167/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a Christian ritual.",بطاقة بريدية يظهر فيها طقس ديني مسيحي، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m5vf4jcp,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0343|~|123168|~|53837_ca_object_representations_media_79852_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a theatrical performance. |~|بطاقة بريدية يظهر فيها عرض مسرحي، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,after 1948,1948,,"[31.7053821,35.2024425]",,,image/jpeg,4563,6687,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/48662_ca_object_representations_media_79852_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/53837_ca_object_representations_media_79852_original.jpg,https://palarchive.org/index.php/Detail/objects/123168/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a theatrical performance.",بطاقة بريدية يظهر فيها عرض مسرحي، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m50651vz,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0344|~|123169|~|32538_ca_object_representations_media_79854_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a social event. |~|بطاقة بريدية تظهر فيها لقطة من إحدى المناسبات الاجتماعية، صدرت عن ستوديو سمعان السحار.",,,,still image,after 1948,1948,,"[31.7053821,35.2024425]",Social History,,image/jpeg,4331,6686,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/14229_ca_object_representations_media_79854_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/32538_ca_object_representations_media_79854_original.jpg,https://palarchive.org/index.php/Detail/objects/123169/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a social event.",بطاقة بريدية تظهر فيها لقطة من إحدى المناسبات الاجتماعية، صدرت عن ستوديو سمعان السحار.,,,,
ark:/13030/m5x99x7k,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0345|~|123170|~|14835_ca_object_representations_media_79856_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a Christian celebration. |~|بطاقة بريدية تظهر فيها مناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,after 1948,1948,,"[31.7053821,35.2024425]",Social History,,image/jpeg,4542,6687,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/66328_ca_object_representations_media_79856_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/14835_ca_object_representations_media_79856_original.jpg,https://palarchive.org/index.php/Detail/objects/123170/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a Christian celebration.",بطاقة بريدية تظهر فيها مناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m5ns8dvd,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0346|~|123171|~|51450_ca_object_representations_media_79858_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a Christian ritual. |~|بطاقة بريدية يظهر فيها طقس ديني مسيحي، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,,,,"[31.7053821,35.2024425]",,,image/jpeg,6749,4636,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/73682_ca_object_representations_media_79858_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/51450_ca_object_representations_media_79858_original.jpg,https://palarchive.org/index.php/Detail/objects/123171/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a Christian ritual.",بطاقة بريدية يظهر فيها طقس ديني مسيحي، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m5133ck1,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0347|~|123172|~|11831_ca_object_representations_media_79860_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a social event. |~|بطاقة بريدية تظهر فيها لقطة من إحدى المناسبات الاجتماعية، صدرت عن ستوديو سمعان السحار.",,,,still image,after 1948,1948,,"[31.7053821,35.2024425]",Social History,,image/jpeg,6765,4447,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/88071_ca_object_representations_media_79860_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/11831_ca_object_representations_media_79860_original.jpg,https://palarchive.org/index.php/Detail/objects/123172/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a social event.",بطاقة بريدية تظهر فيها لقطة من إحدى المناسبات الاجتماعية، صدرت عن ستوديو سمعان السحار.,,,,
ark:/13030/m5wb2w46,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0348|~|123173|~|20799_ca_object_representations_media_79862_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a group photograph. |~|بطاقة بريدية يظهر فيها صورة جماعية لمجموعة من الأشخاص، صدرت عن ستوديو سمعان السحار",,,,still image,1950 to 1980,1950/1980,,"[31.7053821,35.2024425]",,,image/jpeg,4625,6475,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/78498_ca_object_representations_media_79862_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/20799_ca_object_representations_media_79862_original.jpg,https://palarchive.org/index.php/Detail/objects/123173/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a group photograph.",بطاقة بريدية يظهر فيها صورة جماعية لمجموعة من الأشخاص، صدرت عن ستوديو سمعان السحار,,,,
ark:/13030/m5pk823n,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0349|~|123174|~|34692_ca_object_representations_media_79864_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a group photograph. |~|بطاقة بريدية يظهر فيها صورة جماعية لمجموعة من الأشخاص، صدرت عن ستوديو سمعان السحار",,,,still image,1950 to 1980,1950/1980,,"[31.7053821,35.2024425]",,,image/jpeg,4636,6686,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/97286_ca_object_representations_media_79864_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/34692_ca_object_representations_media_79864_original.jpg,https://palarchive.org/index.php/Detail/objects/123174/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a group photograph.",بطاقة بريدية يظهر فيها صورة جماعية لمجموعة من الأشخاص، صدرت عن ستوديو سمعان السحار,,,,
ark:/13030/m51w30v0,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0350|~|123175|~|23647_ca_object_representations_media_79866_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a parade during a Christian celebration. |~|بطاقة بريدية تظهر فيها مسيرة بمناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,after 1948,1948,,"[31.7053821,35.2024425]",,,image/jpeg,4907,6686,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/46799_ca_object_representations_media_79866_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/23647_ca_object_representations_media_79866_original.jpg,https://palarchive.org/index.php/Detail/objects/123175/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a parade during a Christian celebration.",بطاقة بريدية تظهر فيها مسيرة بمناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m5x42hbk,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0351|~|123176|~|79812_ca_object_representations_media_79868_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a parade during a Christian celebration. |~|بطاقة بريدية تظهر فيها مسيرة بمناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,after 1948,1948,,"[31.7053821,35.2024425]",,,image/jpeg,4907,6686,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/55871_ca_object_representations_media_79868_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/79812_ca_object_representations_media_79868_original.jpg,https://palarchive.org/index.php/Detail/objects/123176/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a parade during a Christian celebration.",بطاقة بريدية تظهر فيها مسيرة بمناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m5kx31xm,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0352|~|123177|~|23968_ca_object_representations_media_79870_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a parade during a Christian celebration. |~|بطاقة بريدية تظهر فيها مسيرة بمناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,after 1948,1948,,"[31.7053821,35.2024425]",,,image/jpeg,4907,6686,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/75871_ca_object_representations_media_79870_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/23968_ca_object_representations_media_79870_original.jpg,https://palarchive.org/index.php/Detail/objects/123177/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a parade during a Christian celebration.",بطاقة بريدية تظهر فيها مسيرة بمناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m5hx8zkk,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0353|~|123178|~|12327_ca_object_representations_media_79872_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a parade during a Christian celebration. |~|بطاقة بريدية تظهر فيها مسيرة بمناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,after 1948,1948,,"[31.7053821,35.2024425]",,,image/jpeg,4373,6024,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/29438_ca_object_representations_media_79872_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/12327_ca_object_representations_media_79872_original.jpg,https://palarchive.org/index.php/Detail/objects/123178/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a parade during a Christian celebration.",بطاقة بريدية تظهر فيها مسيرة بمناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m5cc8kmq,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0354|~|123179|~|7084_ca_object_representations_media_79874_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a parade during a Christian celebration. |~|بطاقة بريدية تظهر فيها مسيرة بمناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,after 1948,1948,,"[31.7053821,35.2024425]",,,image/jpeg,4636,6686,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/44400_ca_object_representations_media_79874_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/7084_ca_object_representations_media_79874_original.jpg,https://palarchive.org/index.php/Detail/objects/123179/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a parade during a Christian celebration.",بطاقة بريدية تظهر فيها مسيرة بمناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m56q9h3f,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0355|~|123180|~|48346_ca_object_representations_media_79876_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a parade during a Christian celebration. |~|بطاقة بريدية تظهر فيها مسيرة بمناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,after 1948,1948,,"[31.7053821,35.2024425]",,,image/jpeg,4458,6687,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/52695_ca_object_representations_media_79876_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/48346_ca_object_representations_media_79876_original.jpg,https://palarchive.org/index.php/Detail/objects/123180/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a parade during a Christian celebration.",بطاقة بريدية تظهر فيها مسيرة بمناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m50w5zps,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0356|~|123181|~|65929_ca_object_representations_media_79878_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a parade during a Christian celebration. |~|بطاقة بريدية تظهر فيها مسيرة بمناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار",,black-and-white photographs,,still image,after 1948,1948,,"[31.7053821,35.2024425]",,,image/jpeg,4563,6687,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/19343_ca_object_representations_media_79878_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/65929_ca_object_representations_media_79878_original.jpg,https://palarchive.org/index.php/Detail/objects/123181/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:46,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a parade during a Christian celebration.",بطاقة بريدية تظهر فيها مسيرة بمناسبة دينية مسيحية، صدرت عن ستوديو سمعان السحار,black-and-white photographs,,,
ark:/13030/m5rg3dx7,ark:/21198/z1ht87wd,,Work,99.0,0099.04.0357|~|123182|~|77602_ca_object_representations_media_79880_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 4: Samaan Sahar,بطاقة بريدية صدرت عن استديو سمعان السحار,A Postcard Issued by Saman Sahar Photo Studio,"Issued by Saman Sahar Photo Studio, this postcard features a social event. |~|بطاقة بريدية تظهر فيها لقطة من إحدى المناسبات الاجتماعية، صدرت عن ستوديو سمعان السحار.",,,,still image,after 1948,1948,,"[31.7053821,35.2024425]",Social History,,image/jpeg,4636,6686,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/76134_ca_object_representations_media_79880_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/9/8/77602_ca_object_representations_media_79880_original.jpg,https://palarchive.org/index.php/Detail/objects/123182/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The George al-A'ma Collection | George al-A'ma Sub-collection 4: Samaan Sahar,14 May 2019 at 12:24:47,9 March 2021 at 11:27:10,"Issued by Saman Sahar Photo Studio, this postcard features a social event.",بطاقة بريدية تظهر فيها لقطة من إحدى المناسبات الاجتماعية، صدرت عن ستوديو سمعان السحار.,,,,
